n,Points in Hull,Experimental Time (s),Theoretical Time
1000,22,0.0014571499999999995,150657.8428466209
1100,18,0.0015540165999999981,167136.16589253224
1200,15,0.0017724748000000012,183745.82428595057
1300,22,0.0019576997999999983,200475.8468029056
1400,16,0.002196224599999999,217316.9555656526
1500,17,0.0021410250000000047,234261.20178074864
1600,21,0.0022533002,251301.6990363956
1700,17,0.0024051832000000052,268432.4235274261
1800,22,0.0025534913999999964,285648.06144190667
1900,21,0.0027381164000000015,302943.89036114793
2000,17,0.0028349413999999963,320315.6856932418
2100,17,0.0029853998000000047,337759.6458636232
2200,21,0.003115549800000006,355272.3317850645
2300,21,0.0032918334000000215,372850.61735412996
2400,25,0.003414433399999994,390491.64857190114
2500,21,0.003556641600000021,408192.8094887362
2600,20,0.003685808399999979,425951.6936058112
2700,17,0.003835775199999991,443766.07968233124
2800,22,0.0040787250000000165,461633.9111313052
2900,20,0.004126657999999983,479553.2783621666
3000,26,0.004328066800000007,497522.4035614973
3100,19,0.004427983400000013,515539.6275050096
3200,17,0.004658933399999987,533603.3980727913
3300,20,0.00479495860000001,551712.2602013948
3400,16,0.004950624999999986,569864.8470548522
3500,21,0.005229475000000016,588059.8722351892
3600,21,0.005330258199999993,606296.1228838133
3700,23,0.005428058599999996,624572.453549936
3800,17,0.005639924800000018,642887.7807222959
